Geneid	1AS	1AW	1BS	1BW	1CS	1CW	1DS	1DW	2AS	2AW	2BS	2BW	2CS	2CW	2DS	2DW	3AS	3AW	3BS	3BW	3CS	3CW	3DS	3DW
evm.model.scf7180000356394.7	6	47	26	0	0	0	0	0	77	0	0	0	0	50	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000356394.5	54	396	164	0	0	0	0	0	1059	0	0	0	0	362	0	0	0	0	0	0	0	0	16	0
evm.model.scf7180000356394.11	27	226	54	0	0	0	0	0	441	0	0	0	0	326	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000356394.2	1	16	3	0	0	0	0	0	38	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356394.3	2	12	7	0	0	0	0	0	69	0	0	0	0	31	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000356394.10	38	367	96	0	0	0	0	0	712	0	0	0	0	424	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000356394.9	4	47	9	0	0	0	0	0	90	0	0	0	0	50	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000356394.6	115	792	205	0	0	0	0	0	1763	0	0	0	0	793	0	0	0	0	0	0	0	0	10	0
evm.model.scf7180000356394.13	43	199	59	0	0	0	0	0	543	0	0	0	0	331	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000356394.4	0	20	3	0	0	0	0	0	28	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356394.12	92	578	156	0	0	0	0	0	1168	0	0	0	0	790	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000354999.9	187	859	149	0	0	0	0	0	2630	0	0	0	0	748	0	0	0	0	0	0	0	0	20	0
evm.model.scf7180000354999.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354999.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354999.10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354999.7	8	54	2	0	0	0	0	0	107	0	0	0	0	12	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000354999.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354999.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354999.8	11	62	3	0	0	0	0	0	194	0	0	0	0	16	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000349963.1	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353311.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353311.2	73	410	146	0	0	0	0	0	1010	0	0	0	0	511	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000353311.6	23	299	67	0	0	0	0	0	436	0	0	0	0	419	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000353311.9	34	357	124	0	0	0	0	0	782	0	0	0	0	367	0	0	0	0	0	0	0	0	4	0
evm.model.scf7180000348506.9	15	135	28	0	0	0	0	0	351	0	0	0	0	211	0	0	0	0	0	0	0	0	4	0
evm.model.scf7180000348506.3	57	524	135	0	0	0	0	0	1192	0	0	0	0	614	0	0	0	0	0	0	0	0	4	0
evm.model.scf7180000348506.8	135	953	186	0	0	0	0	0	1850	0	0	0	0	1275	0	0	0	0	0	0	0	0	19	0
evm.model.scf7180000348506.4	66	361	117	0	0	0	0	0	926	0	0	0	0	584	0	0	0	0	0	0	0	0	8	0
evm.model.scf7180000348506.5	3	10	7	0	0	0	0	0	41	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000348506.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000348506.7	37	406	78	0	0	0	0	0	831	0	0	0	0	293	0	0	0	0	0	0	0	0	18	0
evm.model.scf7180000348506.6	3	23	8	0	0	0	0	0	66	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000348506.10	34	253	91	0	0	0	0	0	587	0	0	0	0	335	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000348506.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000348477.2	1	31	8	0	0	0	0	0	45	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000348477.1	22	282	53	0	0	0	0	0	425	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000347704.4	12	71	26	0	0	0	0	0	174	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000347704.5	17	73	20	0	0	0	0	0	136	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000347704.1	7	37	11	0	0	0	0	0	111	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000347704.3	101	826	215	0	0	0	0	0	1644	0	0	0	0	1130	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000346568.1	6	45	7	0	0	0	0	0	72	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000346568.2	7	31	17	0	0	0	0	0	103	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000354113.1	5	32	6	0	0	0	0	0	113	0	0	0	0	39	0	0	0	0	0	0	0	0	1	0
