Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
3CS_R1_001	3CS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58507664.0	8.7 Gbp	0.0	150.0	46.0	83.38143769336877	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	pass
3CS_R2	3CS_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57196082.0	8.4 Gbp	0.0	50-150	47.0	82.90799435578187	148.3282651073897	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	fail	pass
3CS_R2_001	3CS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58507664.0	8.7 Gbp	0.0	150.0	46.0	82.49184877146207	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	fail	pass
3CW_R1	3CW_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64117197.0	9.5 Gbp	0.0	50-150	47.0	83.60513651831252	148.524550862696	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
3CW_R1_001	3CW_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65447659.0	9.8 Gbp	0.0	150.0	46.0	83.32641251168037	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	pass
3CW_R2	3CW_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64117197.0	9.5 Gbp	0.0	50-150	47.0	82.55785329283252	148.43489493154232	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	fail	pass
3CW_R2_001	3CW_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65447659.0	9.8 Gbp	0.0	150.0	47.0	82.07518495982869	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	fail	pass
3DS_R1	3DS_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56598638.0	8.4 Gbp	0.0	50-150	46.0	84.50707439920542	148.4484542013184	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
3DS_R1_001	3DS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57830455.0	8.6 Gbp	0.0	150.0	46.0	84.26309486619868	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	pass
3DS_R2	3DS_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56598638.0	8.4 Gbp	0.0	50-150	47.0	83.7431828408714	148.3821095129533	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	fail	pass
3DS_R2_001	3DS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57830455.0	8.6 Gbp	0.0	150.0	47.0	83.37724402868352	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	fail	pass
3DW_R1	3DW_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78933530.0	11.7 Gbp	0.0	50-150	45.0	81.85119768896463	148.35247810404528	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
3DW_R1_001	3DW_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80895491.0	12.1 Gbp	0.0	150.0	45.0	81.46696411027929	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	pass
3DW_R2	3DW_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78933530.0	11.7 Gbp	0.0	50-150	45.0	81.11279314091847	148.28239869672623	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
3DW_R2_001	3DW_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80895491.0	12.1 Gbp	0.0	150.0	45.0	80.53663481303823	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	pass	fail	pass
